Date,Sample,Volume,NH4,NO3,d15N_NH4,d15N_NO3,ug_NH4-N_total_filter,ug_NO3-N_total_filter,Sample_volume
2016-08-10,blank,0,0.047,-0.015,37.22,72.11,17.05368406,5.817423942,0.6
2016-08-10,blank,0,0.041,-0.032,64.27,172.73,20.17038073,0.225917715,0.6
2016-08-10,T1,4.076,3.835,12.01,662.64,58.39,565.7295607,129.6723,0.13
2016-08-10,T2,3.48,5.407,16.322,653.1,51.78,715.6888279,145.9885,0.13
2016-08-10,T3,3.7,4.933,17.318,651.77,72.19,445.4591875,100.7849,0.13
2016-08-10,S1,0.95851,NA,NA,46.38,26.54,1.310717448,50.0444,0.7
2016-08-10,S2,0.45725,NA,NA,12.13,55.83,6.587543051,1.3267,0.7
2016-08-10,S3,0.61875,NA,NA,6.26,51.66,448.5020611,28.1312,0.7
2016-08-10,RF,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-10,CTF,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-10,CSF,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-12,blank,0,0.047,-0.015,37.22,72.11,17.05368406,5.817423942,0.6
2016-08-12,blank,0,0.041,-0.032,64.27,172.73,20.17038073,0.225917715,0.6
2016-08-12,T1,8,3.868,12.097,64.81,19.59,67.69212586,1425.37901,0.004
2016-08-12,T2,6,0.619,4.669,442.26,89.1,151.0101425,0.442083595,0.24
2016-08-12,T3,8,0.157,0.131,134.54,33.93,46.04543061,1.894451412,95
2016-08-12,S1,7,0.099,0.151,11.1,52.17,56.99300152,1.122419166,1
2016-08-12,S2,5,0.179,0.005,0.86,5.59,111.4136861,1399.460638,0.85
2016-08-12,S3,3.75,0.196,0,-3.22,16.2,169.2477826,1319.552973,0.75
2016-08-12,RF,0,0,0,92.22,47.27,0.648407826,2.51320248,0
2016-08-12,CTF,3,0,0,108.63,60.23,62.53522671,1.279407546,0
2016-08-12,CSF,0.5,0,0,40.02,61.31,0.510718084,1.09343411,0
2016-08-20,blank,0,0,0,77.41,12.2,1.995445144,341.0138849,0.75
2016-08-20,blank,0,0,0,43.57,12.26,1.587601959,442.3899399,0.75
2016-08-20,T1,22.45725502,0.362,1.567,9.82,19.73,72.60366606,251.8825074,0.13
2016-08-20,T2,17.00508869,0.165,3.779,68.17,24.65,0.91160551,138.4115239,0.4
2016-08-20,T3,21.003344,0.462,2.812,-3.73,5.39,164.5689394,9.765560803,0.9
2016-08-20,S1,15.55117767,0.239,0.1,-0.5,22.44,3.207704056,154.3609406,0.6
2016-08-20,S2,17.00508869,0.198,0.062,-9.12,35.06,54.4527486,53.03772294,0.75
2016-08-20,S3,3.192933992,1.129,0.284,-2.29,50.14,67.42210623,102.3116832,0.13
2016-08-20,RF,0,0,0,0,0,0,0,0
2016-08-20,CTF,0,0.001,1.472,0,0,0,0,0
2016-08-20,CSF,0,0.183,0.365,0,0,0,0,0
2016-09-04,blank,0,0.047,-0.015,36.72,19.98,1.671446623,257.2164279,1
2016-09-04,blank,0,0.041,-0.032,50.17,-21.89,2.817510707,184.5502985,1
2016-09-04,T1,0,0.289,0.191,15.36,29.15,77.64237729,65.8038374,0.8
2016-09-04,T2,0,0.176,0.184,10.88,30.9,67.66471058,110.5605055,1
2016-09-04,T3,0,0.465,0.23,13.29,26.04,180.8833897,149.5160855,0.45
2016-09-04,S1,0,0.139,0.192,-4.01,18.87,91.58718003,100.7094887,1
2016-09-04,S2,0,0.484,0.263,-4.05,20.19,50.39126916,398.9425673,0.4
